endpoint,prompt_set,offered_rpm,reps,run_tags,point_measure_ok,point_loadgen_valid,point_prompt_mix_valid,point_valid,point_error_non_timeout_compliant,point_timeout_compliant,on_best_tradeoff_p95,vus_max_n,vus_max_mean,vus_max_sd,vus_max_ci95_lo,vus_max_ci95_hi,vus_cap_n,vus_cap_mean,vus_cap_sd,vus_cap_ci95_lo,vus_cap_ci95_hi,iterations_count_n,iterations_count_mean,iterations_count_sd,iterations_count_ci95_lo,iterations_count_ci95_hi,dropped_iterations_count_n,dropped_iterations_count_mean,dropped_iterations_count_sd,dropped_iterations_count_ci95_lo,dropped_iterations_count_ci95_hi,throughput_success_rps_n,throughput_success_rps_mean,throughput_success_rps_sd,throughput_success_rps_ci95_lo,throughput_success_rps_ci95_hi,throughput_attempt_rps_n,throughput_attempt_rps_mean,throughput_attempt_rps_sd,throughput_attempt_rps_ci95_lo,throughput_attempt_rps_ci95_hi,timeout_rate_n,timeout_rate_mean,timeout_rate_sd,timeout_rate_ci95_lo,timeout_rate_ci95_hi,error_rate_total_n,error_rate_total_mean,error_rate_total_sd,error_rate_total_ci95_lo,error_rate_total_ci95_hi,error_rate_non_timeout_n,error_rate_non_timeout_mean,error_rate_non_timeout_sd,error_rate_non_timeout_ci95_lo,error_rate_non_timeout_ci95_hi,latency_p50_s_n,latency_p50_s_mean,latency_p50_s_sd,latency_p50_s_ci95_lo,latency_p50_s_ci95_hi,latency_p95_s_n,latency_p95_s_mean,latency_p95_s_sd,latency_p95_s_ci95_lo,latency_p95_s_ci95_hi,http_429_measure_count_n,http_429_measure_count_mean,http_429_measure_count_sd,http_429_measure_count_ci95_lo,http_429_measure_count_ci95_hi,http_429_measure_rate_n,http_429_measure_rate_mean,http_429_measure_rate_sd,http_429_measure_rate_ci95_lo,http_429_measure_rate_ci95_hi,http_5xx_measure_count_n,http_5xx_measure_count_mean,http_5xx_measure_count_sd,http_5xx_measure_count_ci95_lo,http_5xx_measure_count_ci95_hi,http_5xx_measure_rate_n,http_5xx_measure_rate_mean,http_5xx_measure_rate_sd,http_5xx_measure_rate_ci95_lo,http_5xx_measure_rate_ci95_hi,http_non_200_measure_count_n,http_non_200_measure_count_mean,http_non_200_measure_count_sd,http_non_200_measure_count_ci95_lo,http_non_200_measure_count_ci95_hi,http_non_200_measure_rate_n,http_non_200_measure_rate_mean,http_non_200_measure_rate_sd,http_non_200_measure_rate_ci95_lo,http_non_200_measure_rate_ci95_hi
n8n,in_scope,10,3,sweep_primary,True,True,True,True,True,False,True,3,100.0,0.0,100.0,100.0,3,600.0,0.0,600.0,600.0,3,126.66666666666667,15.275252316519467,110.0,140.0,3,0.0,0.0,0.0,0.0,1,0.1597222222222222,0.0,0.1597222222222222,0.1597222222222222,3,0.1550925925925926,0.014456013885181468,0.1388888888888889,0.16666666666666666,3,0.3333333333333333,0.5773502691896257,0.0,1.0,3,0.6666666666666666,0.5773502691896257,0.0,1.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,1,27.252669323,0.0,27.252669323,27.252669323,1,52.4868363641,0.0,52.4868363641,52.4868363641,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,40.0,69.2820323027551,0.0,120.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,3,73.33333333333333,64.29100507328637,0.0,120.0,3,0.6666666666666666,0.5773502691896257,0.0,1.0
n8n,in_scope,20,3,sweep_primary,True,True,True,True,True,False,False,3,100.0,0.0,100.0,100.0,3,600.0,0.0,600.0,600.0,3,250.66666666666666,43.14317249963583,220.0,300.0,3,0.0,0.0,0.0,0.0,0,,,,,3,0.2962962962962963,0.03207501495497919,0.2777777777777778,0.3333333333333333,3,0.6666666666666666,0.5773502691896257,0.0,1.0,3,1.0,0.0,1.0,1.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,0,,,,,0,,,,,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,80.0,138.5640646055102,0.0,240.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,3,213.33333333333334,23.09401076758503,200.0,240.0,3,1.0,0.0,1.0,1.0
n8n,in_scope,30,3,sweep_primary,True,True,True,True,True,False,False,3,100.0,0.0,100.0,100.0,3,600.0,0.0,600.0,600.0,3,370.0,69.2820323027551,330.0,450.0,3,0.0,0.0,0.0,0.0,0,,,,,3,0.4444444444444445,0.0481125224324688,0.4166666666666667,0.5,3,0.6666666666666666,0.5773502691896257,0.0,1.0,3,1.0,0.0,1.0,1.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,0,,,,,0,,,,,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,120.0,207.84609690826528,0.0,360.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,3,320.0,34.64101615137755,300.0,360.0,3,1.0,0.0,1.0,1.0
n8n,in_scope,40,3,sweep_primary,True,True,True,True,True,False,False,3,100.0,0.0,100.0,100.0,3,600.0,0.0,600.0,600.0,3,493.3333333333333,92.37604307034012,440.0,600.0,3,0.0,0.0,0.0,0.0,0,,,,,3,0.5925925925925926,0.06415002990995838,0.5555555555555556,0.6666666666666666,3,0.6666666666666666,0.5773502691896257,0.0,1.0,3,1.0,0.0,1.0,1.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,0,,,,,0,,,,,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,160.0,277.1281292110204,0.0,480.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,3,426.6666666666667,46.18802153517006,400.0,480.0,3,1.0,0.0,1.0,1.0
n8n,in_scope,50,3,sweep_primary,True,False,True,False,True,False,False,3,101.33333333333333,1.1547005383792515,100.0,102.0,3,600.0,0.0,600.0,600.0,3,616.3333333333334,115.7598087996578,549.0,750.0,3,1.3333333333333333,1.1547005383792515,0.0,2.0,0,,,,,3,0.7398148148148148,0.08098941276132253,0.6930555555555555,0.8333333333333334,3,0.6666666666666666,0.5773502691896257,0.0,1.0,3,1.0,0.0,1.0,1.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,0,,,,,0,,,,,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,200.0,346.41016151377545,0.0,600.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,3,532.6666666666666,58.312377188152205,499.0,600.0,3,1.0,0.0,1.0,1.0
n8n,in_scope,60,3,sweep_primary,True,False,True,False,True,False,False,3,121.33333333333333,18.475208614068023,100.0,132.0,3,600.0,0.0,600.0,600.0,3,726.3333333333334,150.40057624003086,639.0,900.0,3,21.333333333333332,18.475208614068023,0.0,32.0,0,,,,,3,0.8694444444444445,0.1130644277163017,0.8041666666666667,1.0,3,0.6666666666666666,0.5773502691896257,0.0,1.0,3,1.0,0.0,1.0,1.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,0,,,,,0,,,,,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,240.0,415.69219381653056,0.0,720.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,3,626.0,81.40638795573723,579.0,720.0,3,1.0,0.0,1.0,1.0
n8n,in_scope,70,3,sweep_primary,True,False,True,False,True,False,False,3,141.33333333333334,35.795716689756794,100.0,162.0,3,600.0,0.0,600.0,600.0,3,836.6666666666666,184.75208614068023,730.0,1050.0,3,41.333333333333336,35.795716689756794,0.0,62.0,0,,,,,3,1.0,0.14433756729740652,0.9166666666666666,1.1666666666666667,3,0.6666666666666666,0.5773502691896257,0.0,1.0,3,1.0,0.0,1.0,1.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,0,,,,,0,,,,,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,280.0,484.9742261192856,0.0,840.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,3,720.0,103.92304845413264,660.0,840.0,3,1.0,0.0,1.0,1.0
n8n,in_scope,80,3,sweep_primary,True,False,True,False,True,False,False,3,160.66666666666666,52.53887449625594,100.0,191.0,3,600.0,0.0,600.0,600.0,3,947.6666666666666,218.52764889901994,821.0,1200.0,3,60.666666666666664,52.53887449625594,0.0,91.0,0,,,,,3,1.1305555555555555,0.17561070687851119,1.0291666666666666,1.3333333333333333,3,0.6666666666666666,0.5773502691896257,0.0,1.0,3,1.0,0.0,1.0,1.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,0,,,,,0,,,,,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,320.0,554.2562584220408,0.0,960.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,3,814.0,126.43970895252804,741.0,960.0,3,1.0,0.0,1.0,1.0
n8n,in_scope,90,3,sweep_primary,True,False,True,False,True,False,False,3,180.66666666666666,69.85938257194472,100.0,221.0,3,600.0,0.0,600.0,600.0,3,1057.6666666666667,253.16858678227308,911.0,1350.0,3,80.66666666666667,69.85938257194472,0.0,121.0,0,,,,,3,1.260185185185185,0.2076857218334904,1.1402777777777777,1.5,3,0.6666666666666666,0.5773502691896257,0.0,1.0,3,1.0,0.0,1.0,1.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,0,,,,,0,,,,,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,360.0,623.5382907247958,0.0,1080.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,3,907.3333333333334,149.53371972011308,821.0,1080.0,3,1.0,0.0,1.0,1.0
n8n,in_scope,100,3,sweep_primary,True,False,True,False,True,False,False,3,200.66666666666666,87.17989064763348,100.0,251.0,3,600.0,0.0,600.0,600.0,3,1168.0,287.52043405643366,1002.0,1500.0,3,100.66666666666667,87.17989064763348,0.0,151.0,0,,,,,3,1.3907407407407408,0.23895886141459516,1.2527777777777778,1.6666666666666667,3,0.6666666666666666,0.5773502691896257,0.0,1.0,3,1.0,0.0,1.0,1.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,0,,,,,0,,,,,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,400.0,692.8203230275509,0.0,1200.0,3,0.3333333333333333,0.5773502691896257,0.0,1.0,3,1001.3333333333334,172.05038021850848,902.0,1200.0,3,1.0,0.0,1.0,1.0
