run_id,run_tag,endpoint,target_endpoint,prompt_set,offered_rpm,rep,parent_compare_id,child_batch_id,pair_rep,pair_order,pair_prompt_seed,measure_seconds,measure_ok,preallocated_vus_cfg,max_vus_cfg,vus_cap,vus_max,iterations_count,dropped_iterations_count,dropped_iterations_source,dropped_ok,vu_cap_ok,loadgen_valid,data_sent_count,data_received_count,queue_saturation,attempts_measure_count,successes_measure_count,timeouts_measure_count,timeouts_measure_source,errors_total_measure_count,errors_total_measure_source,errors_non_timeout_measure_count,errors_non_timeout_measure_source,throughput_success_rps,throughput_attempt_rps,timeout_rate,error_rate_total,error_rate_non_timeout,latency_p50_s,latency_p95_s,timeout_compliant,prompt_ids,prompt_attempts_by_id,prompt_successes_by_id,prompt_mix_source,prompt_mix_checked,prompt_mix_ok,prompt_mix_max_minus_min,rep_valid,invalid_reasons,http_429_measure_count,http_429_measure_rate,http_5xx_measure_count,http_5xx_measure_rate,http_non_200_measure_count,http_non_200_measure_rate,summary_file
arrival-n8n-in_scope-10rpm-rep1-20260325T045433Z-warm,sweep_primary,n8n,n8n,in_scope,10,1,compare_20260324T160059Z,rep03-n8n,3,rag_first,20260320,720.0,True,,,600,100,130,0,runs_jsonl,True,True,True,87224,35160,False,120,,0,implicit_zero,120,metric,120,metric,,0.16666666666666666,0.0,1.0,1.0,,,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 8, ""p02"": 8, ""p03"": 8, ""p04"": 8, ""p05"": 8, ""p06"": 8, ""p07"": 8, ""p08"": 8, ""p09"": 8, ""p10"": 8, ""p11"": 8, ""p12"": 8, ""p13"": 8, ""p14"": 8, ""p15"": 8}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,120,1.0,120,1.0,/bench/results/compare_20260324T160059Z/children/rep03-n8n/arrival-n8n-in_scope-10rpm-rep1-20260325T045433Z-warm.json
arrival-n8n-in_scope-20rpm-rep1-20260325T045433Z-warm,sweep_primary,n8n,n8n,in_scope,20,1,compare_20260324T160059Z,rep03-n8n,3,rag_first,20260320,720.0,True,,,600,100,300,0,runs_jsonl,True,True,True,174694,87900,False,240,,0,implicit_zero,240,metric,240,metric,,0.3333333333333333,0.0,1.0,1.0,,,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 16, ""p02"": 16, ""p03"": 16, ""p04"": 16, ""p05"": 16, ""p06"": 16, ""p07"": 16, ""p08"": 16, ""p09"": 16, ""p10"": 16, ""p11"": 16, ""p12"": 16, ""p13"": 16, ""p14"": 16, ""p15"": 16}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,240,1.0,240,1.0,/bench/results/compare_20260324T160059Z/children/rep03-n8n/arrival-n8n-in_scope-20rpm-rep1-20260325T045433Z-warm.json
arrival-n8n-in_scope-30rpm-rep1-20260325T045433Z-warm,sweep_primary,n8n,n8n,in_scope,30,1,compare_20260324T160059Z,rep03-n8n,3,rag_first,20260320,720.0,True,,,600,100,450,0,runs_jsonl,True,True,True,262164,131850,False,360,,0,implicit_zero,360,metric,360,metric,,0.5,0.0,1.0,1.0,,,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 24, ""p02"": 24, ""p03"": 24, ""p04"": 24, ""p05"": 24, ""p06"": 24, ""p07"": 24, ""p08"": 24, ""p09"": 24, ""p10"": 24, ""p11"": 24, ""p12"": 24, ""p13"": 24, ""p14"": 24, ""p15"": 24}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,360,1.0,360,1.0,/bench/results/compare_20260324T160059Z/children/rep03-n8n/arrival-n8n-in_scope-30rpm-rep1-20260325T045433Z-warm.json
arrival-n8n-in_scope-40rpm-rep1-20260325T045433Z-warm,sweep_primary,n8n,n8n,in_scope,40,1,compare_20260324T160059Z,rep03-n8n,3,rag_first,20260320,720.0,True,,,600,100,600,0,runs_jsonl,True,True,True,349672,175800,False,480,,0,implicit_zero,480,metric,480,metric,,0.6666666666666666,0.0,1.0,1.0,,,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 32, ""p02"": 32, ""p03"": 32, ""p04"": 32, ""p05"": 32, ""p06"": 32, ""p07"": 32, ""p08"": 32, ""p09"": 32, ""p10"": 32, ""p11"": 32, ""p12"": 32, ""p13"": 32, ""p14"": 32, ""p15"": 32}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,480,1.0,480,1.0,/bench/results/compare_20260324T160059Z/children/rep03-n8n/arrival-n8n-in_scope-40rpm-rep1-20260325T045433Z-warm.json
arrival-n8n-in_scope-50rpm-rep1-20260325T045433Z-warm,sweep_primary,n8n,n8n,in_scope,50,1,compare_20260324T160059Z,rep03-n8n,3,rag_first,20260320,720.0,True,,,600,100,750,0,runs_jsonl,True,True,True,437195,219750,False,600,,0,implicit_zero,600,metric,600,metric,,0.8333333333333334,0.0,1.0,1.0,,,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 40, ""p02"": 40, ""p03"": 40, ""p04"": 40, ""p05"": 40, ""p06"": 40, ""p07"": 40, ""p08"": 40, ""p09"": 40, ""p10"": 40, ""p11"": 40, ""p12"": 40, ""p13"": 40, ""p14"": 40, ""p15"": 40}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,600,1.0,600,1.0,/bench/results/compare_20260324T160059Z/children/rep03-n8n/arrival-n8n-in_scope-50rpm-rep1-20260325T045433Z-warm.json
arrival-n8n-in_scope-60rpm-rep1-20260325T045433Z-warm,sweep_primary,n8n,n8n,in_scope,60,1,compare_20260324T160059Z,rep03-n8n,3,rag_first,20260320,720.0,True,,,600,100,900,0,runs_jsonl,True,True,True,524724,263700,False,720,,0,implicit_zero,720,metric,720,metric,,1.0,0.0,1.0,1.0,,,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 48, ""p02"": 48, ""p03"": 48, ""p04"": 48, ""p05"": 48, ""p06"": 48, ""p07"": 48, ""p08"": 48, ""p09"": 48, ""p10"": 48, ""p11"": 48, ""p12"": 48, ""p13"": 48, ""p14"": 48, ""p15"": 48}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,720,1.0,720,1.0,/bench/results/compare_20260324T160059Z/children/rep03-n8n/arrival-n8n-in_scope-60rpm-rep1-20260325T045433Z-warm.json
arrival-n8n-in_scope-70rpm-rep1-20260325T045433Z-warm,sweep_primary,n8n,n8n,in_scope,70,1,compare_20260324T160059Z,rep03-n8n,3,rag_first,20260320,720.0,True,,,600,100,1050,0,runs_jsonl,True,True,True,612303,307650,False,840,,0,implicit_zero,840,metric,840,metric,,1.1666666666666667,0.0,1.0,1.0,,,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 56, ""p02"": 56, ""p03"": 56, ""p04"": 56, ""p05"": 56, ""p06"": 56, ""p07"": 56, ""p08"": 56, ""p09"": 56, ""p10"": 56, ""p11"": 56, ""p12"": 56, ""p13"": 56, ""p14"": 56, ""p15"": 56}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,840,1.0,840,1.0,/bench/results/compare_20260324T160059Z/children/rep03-n8n/arrival-n8n-in_scope-70rpm-rep1-20260325T045433Z-warm.json
arrival-n8n-in_scope-80rpm-rep1-20260325T045433Z-warm,sweep_primary,n8n,n8n,in_scope,80,1,compare_20260324T160059Z,rep03-n8n,3,rag_first,20260320,720.0,True,,,600,100,1200,0,runs_jsonl,True,True,True,699983,351600,False,960,,0,implicit_zero,960,metric,960,metric,,1.3333333333333333,0.0,1.0,1.0,,,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 64, ""p02"": 64, ""p03"": 64, ""p04"": 64, ""p05"": 64, ""p06"": 64, ""p07"": 64, ""p08"": 64, ""p09"": 64, ""p10"": 64, ""p11"": 64, ""p12"": 64, ""p13"": 64, ""p14"": 64, ""p15"": 64}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,960,1.0,960,1.0,/bench/results/compare_20260324T160059Z/children/rep03-n8n/arrival-n8n-in_scope-80rpm-rep1-20260325T045433Z-warm.json
arrival-n8n-in_scope-90rpm-rep1-20260325T045433Z-warm,sweep_primary,n8n,n8n,in_scope,90,1,compare_20260324T160059Z,rep03-n8n,3,rag_first,20260320,720.0,True,,,600,100,1350,0,runs_jsonl,True,True,True,787818,395550,False,1080,,0,implicit_zero,1080,metric,1080,metric,,1.5,0.0,1.0,1.0,,,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 72, ""p02"": 72, ""p03"": 72, ""p04"": 72, ""p05"": 72, ""p06"": 72, ""p07"": 72, ""p08"": 72, ""p09"": 72, ""p10"": 72, ""p11"": 72, ""p12"": 72, ""p13"": 72, ""p14"": 72, ""p15"": 72}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,1080,1.0,1080,1.0,/bench/results/compare_20260324T160059Z/children/rep03-n8n/arrival-n8n-in_scope-90rpm-rep1-20260325T045433Z-warm.json
arrival-n8n-in_scope-100rpm-rep1-20260325T045433Z-warm,sweep_primary,n8n,n8n,in_scope,100,1,compare_20260324T160059Z,rep03-n8n,3,rag_first,20260320,720.0,True,,,600,100,1500,0,runs_jsonl,True,True,True,878740,439500,False,1200,,0,implicit_zero,1200,metric,1200,metric,,1.6666666666666667,0.0,1.0,1.0,,,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 80, ""p02"": 80, ""p03"": 80, ""p04"": 80, ""p05"": 80, ""p06"": 80, ""p07"": 80, ""p08"": 80, ""p09"": 80, ""p10"": 80, ""p11"": 80, ""p12"": 80, ""p13"": 80, ""p14"": 80, ""p15"": 80}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,1200,1.0,1200,1.0,/bench/results/compare_20260324T160059Z/children/rep03-n8n/arrival-n8n-in_scope-100rpm-rep1-20260325T045433Z-warm.json
